1:AOR:-(int,int):%(int,int):com.google.javascript.jscomp.ControlFlowAnalysis$1@compare(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>,com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):75:astPosition.get(a.getValue()) - astPosition.get(b.getValue()) |==> astPosition.get(a.getValue()) % astPosition.get(b.getValue())
113:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@handleSwitch(com.google.javascript.rhino.Node):442:node.getFirstChild().getNext() != null |==> true
114:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleSwitch(com.google.javascript.rhino.Node):443:createEdge(node, Branch.UNCOND, node.getFirstChild().getNext()) |==> <NO-OP>
115:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleSwitch(com.google.javascript.rhino.Node):445:createEdge(node, Branch.UNCOND, computeFollowNode(node, this)) |==> <NO-OP>
116:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleSwitch(com.google.javascript.rhino.Node):448:connectToPossibleExceptionHandler(node, node.getFirstChild()) |==> <NO-OP>
117:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleCase(com.google.javascript.rhino.Node):453:createEdge(node, Branch.ON_TRUE, node.getFirstChild().getNext()) |==> <NO-OP>
118:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@handleCase(com.google.javascript.rhino.Node):457:next != null |==> true
119:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleCase(com.google.javascript.rhino.Node):458:Preconditions.checkState(next.isCase()) |==> <NO-OP>
120:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleCase(com.google.javascript.rhino.Node):459:createEdge(node, Branch.ON_FALSE, next) |==> <NO-OP>
121:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@handleCase(com.google.javascript.rhino.Node):464:deflt != null |==> true
122:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleCase(com.google.javascript.rhino.Node):465:createEdge(node, Branch.ON_FALSE, deflt) |==> <NO-OP>
123:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleCase(com.google.javascript.rhino.Node):467:createEdge(node, Branch.ON_FALSE, computeFollowNode(node, this)) |==> <NO-OP>
124:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleCase(com.google.javascript.rhino.Node):470:connectToPossibleExceptionHandler(node, node.getFirstChild()) |==> <NO-OP>
125:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleDefault(com.google.javascript.rhino.Node):475:createEdge(node, Branch.UNCOND, node.getFirstChild()) |==> <NO-OP>
126:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleWith(com.google.javascript.rhino.Node):480:createEdge(node, Branch.UNCOND, node.getLastChild()) |==> <NO-OP>
127:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleWith(com.google.javascript.rhino.Node):481:connectToPossibleExceptionHandler(node, node.getFirstChild()) |==> <NO-OP>
128:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@handleStmtList(com.google.javascript.rhino.Node):487:parent != null |==> true
129:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleStmtList(com.google.javascript.rhino.Node):487:node.isBlock() && parent != null |==> node.isBlock() == (parent != null)
130:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleStmtList(com.google.javascript.rhino.Node):487:node.isBlock() && parent != null |==> false
131:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleStmtList(com.google.javascript.rhino.Node):487:node.isBlock() && parent != null |==> node.isBlock()
132:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleStmtList(com.google.javascript.rhino.Node):487:node.isBlock() && parent != null |==> parent != null
133:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleStmtList(com.google.javascript.rhino.Node):487:node.isBlock() && parent != null && parent.isTry() |==> (node.isBlock() && parent != null) == parent.isTry()
134:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleStmtList(com.google.javascript.rhino.Node):487:node.isBlock() && parent != null && parent.isTry() |==> false
135:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleStmtList(com.google.javascript.rhino.Node):487:node.isBlock() && parent != null && parent.isTry() |==> node.isBlock() && parent != null
136:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleStmtList(com.google.javascript.rhino.Node):488:node.isBlock() && parent != null && parent.isTry() |==> parent.isTry()
137:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@handleStmtList(com.google.javascript.rhino.Node):489:NodeUtil.getCatchBlock(parent) == node |==> false
138:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleStmtList(com.google.javascript.rhino.Node):487:node.isBlock() && parent != null && parent.isTry() && NodeUtil.getCatchBlock(parent) == node |==> (node.isBlock() && parent != null && parent.isTry()) == (NodeUtil.getCatchBlock(parent) == node)
139:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleStmtList(com.google.javascript.rhino.Node):488:node.isBlock() && parent != null && parent.isTry() && NodeUtil.getCatchBlock(parent) == node |==> false
140:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleStmtList(com.google.javascript.rhino.Node):487:node.isBlock() && parent != null && parent.isTry() && NodeUtil.getCatchBlock(parent) == node |==> node.isBlock() && parent != null && parent.isTry()
141:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleStmtList(com.google.javascript.rhino.Node):489:node.isBlock() && parent != null && parent.isTry() && NodeUtil.getCatchBlock(parent) == node |==> NodeUtil.getCatchBlock(parent) == node
142:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleStmtList(com.google.javascript.rhino.Node):487:node.isBlock() && parent != null && parent.isTry() && NodeUtil.getCatchBlock(parent) == node && !NodeUtil.hasCatchHandler(node) |==> (node.isBlock() && parent != null && parent.isTry() && NodeUtil.getCatchBlock(parent) == node) == !NodeUtil.hasCatchHandler(node)
143:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleStmtList(com.google.javascript.rhino.Node):489:node.isBlock() && parent != null && parent.isTry() && NodeUtil.getCatchBlock(parent) == node && !NodeUtil.hasCatchHandler(node) |==> false
144:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleStmtList(com.google.javascript.rhino.Node):487:node.isBlock() && parent != null && parent.isTry() && NodeUtil.getCatchBlock(parent) == node && !NodeUtil.hasCatchHandler(node) |==> node.isBlock() && parent != null && parent.isTry() && NodeUtil.getCatchBlock(parent) == node
145:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleStmtList(com.google.javascript.rhino.Node):490:node.isBlock() && parent != null && parent.isTry() && NodeUtil.getCatchBlock(parent) == node && !NodeUtil.hasCatchHandler(node) |==> !NodeUtil.hasCatchHandler(node)
146:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@handleStmtList(com.google.javascript.rhino.Node):499:child != null |==> true
147:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleStmtList(com.google.javascript.rhino.Node):499:child != null && child.isFunction() |==> child != null == child.isFunction()
148:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleStmtList(com.google.javascript.rhino.Node):499:child != null && child.isFunction() |==> false
149:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleStmtList(com.google.javascript.rhino.Node):499:child != null && child.isFunction() |==> child != null
150:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleStmtList(com.google.javascript.rhino.Node):499:child != null && child.isFunction() |==> child.isFunction()
151:STD:<ASSIGN>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleStmtList(com.google.javascript.rhino.Node):500:child = child.getNext() |==> <NO-OP>
152:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@handleStmtList(com.google.javascript.rhino.Node):503:child != null |==> true
153:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleStmtList(com.google.javascript.rhino.Node):504:createEdge(node, Branch.UNCOND, computeFallThrough(child)) |==> <NO-OP>
154:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleStmtList(com.google.javascript.rhino.Node):506:createEdge(node, Branch.UNCOND, computeFollowNode(node, this)) |==> <NO-OP>
155:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@handleStmtList(com.google.javascript.rhino.Node):510:parent != null |==> true
156:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleStmtList(com.google.javascript.rhino.Node):517:node.isBlock() && node.isSyntheticBlock() |==> node.isBlock() == node.isSyntheticBlock()
157:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleStmtList(com.google.javascript.rhino.Node):517:node.isBlock() && node.isSyntheticBlock() |==> false
158:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleStmtList(com.google.javascript.rhino.Node):517:node.isBlock() && node.isSyntheticBlock() |==> node.isBlock()
159:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleStmtList(com.google.javascript.rhino.Node):517:node.isBlock() && node.isSyntheticBlock() |==> node.isSyntheticBlock()
160:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleStmtList(com.google.javascript.rhino.Node):518:createEdge(node, Branch.SYN_BLOCK, computeFollowNode(node, this)) |==> <NO-OP>
161:LVR:POS:0:com.google.javascript.jscomp.ControlFlowAnalysis@handleFunction(com.google.javascript.rhino.Node):527:3 |==> 0
162:LVR:POS:NEG:com.google.javascript.jscomp.ControlFlowAnalysis@handleFunction(com.google.javascript.rhino.Node):527:3 |==> -3
163:ROR:>=(int,int):==(int,int):com.google.javascript.jscomp.ControlFlowAnalysis@handleFunction(com.google.javascript.rhino.Node):527:node.getChildCount() >= 3 |==> node.getChildCount() == 3
164:ROR:>=(int,int):>(int,int):com.google.javascript.jscomp.ControlFlowAnalysis@handleFunction(com.google.javascript.rhino.Node):527:node.getChildCount() >= 3 |==> node.getChildCount() > 3
165:ROR:>=(int,int):TRUE(int,int):com.google.javascript.jscomp.ControlFlowAnalysis@handleFunction(com.google.javascript.rhino.Node):527:node.getChildCount() >= 3 |==> true
166:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleFunction(com.google.javascript.rhino.Node):527:Preconditions.checkState(node.getChildCount() >= 3) |==> <NO-OP>
167:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleFunction(com.google.javascript.rhino.Node):528:createEdge(node, Branch.UNCOND, computeFallThrough(node.getFirstChild().getNext().getNext())) |==> <NO-OP>
168:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@handleFunction(com.google.javascript.rhino.Node):530:exceptionHandler.peek() == node |==> false
169:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleFunction(com.google.javascript.rhino.Node):530:Preconditions.checkState(exceptionHandler.peek() == node) |==> <NO-OP>
170:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleFunction(com.google.javascript.rhino.Node):531:exceptionHandler.pop() |==> <NO-OP>
171:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleExpr(com.google.javascript.rhino.Node):535:createEdge(node, Branch.UNCOND, computeFollowNode(node, this)) |==> <NO-OP>
172:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleExpr(com.google.javascript.rhino.Node):536:connectToPossibleExceptionHandler(node, node) |==> <NO-OP>
173:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleThrow(com.google.javascript.rhino.Node):540:connectToPossibleExceptionHandler(node, node) |==> <NO-OP>
174:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleTry(com.google.javascript.rhino.Node):544:createEdge(node, Branch.UNCOND, node.getFirstChild()) |==> <NO-OP>
175:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleCatch(com.google.javascript.rhino.Node):548:createEdge(node, Branch.UNCOND, node.getLastChild()) |==> <NO-OP>
176:COR:node.hasChildren():TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@handleBreak(com.google.javascript.rhino.Node):554:node.hasChildren() |==> false
177:COR:node.hasChildren():FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@handleBreak(com.google.javascript.rhino.Node):554:node.hasChildren() |==> true
178:STD:<ASSIGN>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleBreak(com.google.javascript.rhino.Node):555:label = node.getFirstChild().getString() |==> <NO-OP>
179:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleBreak(com.google.javascript.rhino.Node):573:cur.isTry() && NodeUtil.hasFinally(cur) |==> cur.isTry() == NodeUtil.hasFinally(cur)
180:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleBreak(com.google.javascript.rhino.Node):573:cur.isTry() && NodeUtil.hasFinally(cur) |==> false
181:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleBreak(com.google.javascript.rhino.Node):573:cur.isTry() && NodeUtil.hasFinally(cur) |==> cur.isTry()
182:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleBreak(com.google.javascript.rhino.Node):573:cur.isTry() && NodeUtil.hasFinally(cur) |==> NodeUtil.hasFinally(cur)
183:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@handleBreak(com.google.javascript.rhino.Node):574:cur.getLastChild() != previous |==> true
184:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleBreak(com.google.javascript.rhino.Node):573:cur.isTry() && NodeUtil.hasFinally(cur) && cur.getLastChild() != previous |==> (cur.isTry() && NodeUtil.hasFinally(cur)) == (cur.getLastChild() != previous)
185:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleBreak(com.google.javascript.rhino.Node):574:cur.isTry() && NodeUtil.hasFinally(cur) && cur.getLastChild() != previous |==> false
186:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleBreak(com.google.javascript.rhino.Node):573:cur.isTry() && NodeUtil.hasFinally(cur) && cur.getLastChild() != previous |==> cur.isTry() && NodeUtil.hasFinally(cur)
187:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleBreak(com.google.javascript.rhino.Node):574:cur.isTry() && NodeUtil.hasFinally(cur) && cur.getLastChild() != previous |==> cur.getLastChild() != previous
188:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@handleBreak(com.google.javascript.rhino.Node):575:lastJump == node |==> false
189:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleBreak(com.google.javascript.rhino.Node):576:createEdge(lastJump, Branch.UNCOND, computeFallThrough(cur.getLastChild())) |==> <NO-OP>
190:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleBreak(com.google.javascript.rhino.Node):579:finallyMap.put(lastJump, computeFallThrough(cur.getLastChild())) |==> <NO-OP>
191:STD:<ASSIGN>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleBreak(com.google.javascript.rhino.Node):581:lastJump = cur |==> <NO-OP>
192:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@handleBreak(com.google.javascript.rhino.Node):583:parent == null |==> false
193:COR:compiler.isIdeMode():TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@handleBreak(com.google.javascript.rhino.Node):584:compiler.isIdeMode() |==> false
194:COR:compiler.isIdeMode():FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@handleBreak(com.google.javascript.rhino.Node):584:compiler.isIdeMode() |==> true
195:STD:<ASSIGN>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleBreak(com.google.javascript.rhino.Node):592:previous = cur |==> <NO-OP>
196:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@handleBreak(com.google.javascript.rhino.Node):594:lastJump == node |==> false
197:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleBreak(com.google.javascript.rhino.Node):595:createEdge(lastJump, Branch.UNCOND, computeFollowNode(cur, this)) |==> <NO-OP>
198:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleBreak(com.google.javascript.rhino.Node):597:finallyMap.put(lastJump, computeFollowNode(cur, this)) |==> <NO-OP>
199:COR:node.hasChildren():TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@handleContinue(com.google.javascript.rhino.Node):603:node.hasChildren() |==> false
200:COR:node.hasChildren():FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@handleContinue(com.google.javascript.rhino.Node):603:node.hasChildren() |==> true
201:STD:<ASSIGN>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleContinue(com.google.javascript.rhino.Node):604:label = node.getFirstChild().getString() |==> <NO-OP>
202:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleContinue(com.google.javascript.rhino.Node):615:cur.isTry() && NodeUtil.hasFinally(cur) |==> cur.isTry() == NodeUtil.hasFinally(cur)
203:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleContinue(com.google.javascript.rhino.Node):615:cur.isTry() && NodeUtil.hasFinally(cur) |==> false
204:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleContinue(com.google.javascript.rhino.Node):615:cur.isTry() && NodeUtil.hasFinally(cur) |==> cur.isTry()
205:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleContinue(com.google.javascript.rhino.Node):615:cur.isTry() && NodeUtil.hasFinally(cur) |==> NodeUtil.hasFinally(cur)
206:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@handleContinue(com.google.javascript.rhino.Node):616:cur.getLastChild() != previous |==> true
207:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleContinue(com.google.javascript.rhino.Node):615:cur.isTry() && NodeUtil.hasFinally(cur) && cur.getLastChild() != previous |==> (cur.isTry() && NodeUtil.hasFinally(cur)) == (cur.getLastChild() != previous)
208:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleContinue(com.google.javascript.rhino.Node):616:cur.isTry() && NodeUtil.hasFinally(cur) && cur.getLastChild() != previous |==> false
209:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleContinue(com.google.javascript.rhino.Node):615:cur.isTry() && NodeUtil.hasFinally(cur) && cur.getLastChild() != previous |==> cur.isTry() && NodeUtil.hasFinally(cur)
210:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@handleContinue(com.google.javascript.rhino.Node):616:cur.isTry() && NodeUtil.hasFinally(cur) && cur.getLastChild() != previous |==> cur.getLastChild() != previous
211:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@handleContinue(com.google.javascript.rhino.Node):617:lastJump == node |==> false
212:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleContinue(com.google.javascript.rhino.Node):618:createEdge(lastJump, Branch.UNCOND, cur.getLastChild()) |==> <NO-OP>
213:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleContinue(com.google.javascript.rhino.Node):620:finallyMap.put(lastJump, computeFallThrough(cur.getLastChild())) |==> <NO-OP>
214:STD:<ASSIGN>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleContinue(com.google.javascript.rhino.Node):622:lastJump = cur |==> <NO-OP>
215:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@handleContinue(com.google.javascript.rhino.Node):624:parent != null |==> true
216:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleContinue(com.google.javascript.rhino.Node):624:Preconditions.checkState(parent != null, "Cannot find continue target.") |==> <NO-OP>
217:STD:<ASSIGN>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleContinue(com.google.javascript.rhino.Node):625:previous = cur |==> <NO-OP>
218:LVR:POS:0:com.google.javascript.jscomp.ControlFlowAnalysis@handleContinue(com.google.javascript.rhino.Node):628:4 |==> 0
219:LVR:POS:NEG:com.google.javascript.jscomp.ControlFlowAnalysis@handleContinue(com.google.javascript.rhino.Node):628:4 |==> -4
220:ROR:==(int,int):<=(int,int):com.google.javascript.jscomp.ControlFlowAnalysis@handleContinue(com.google.javascript.rhino.Node):628:cur.getChildCount() == 4 |==> cur.getChildCount() <= 4
221:ROR:==(int,int):>=(int,int):com.google.javascript.jscomp.ControlFlowAnalysis@handleContinue(com.google.javascript.rhino.Node):628:cur.getChildCount() == 4 |==> cur.getChildCount() >= 4
222:ROR:==(int,int):FALSE(int,int):com.google.javascript.jscomp.ControlFlowAnalysis@handleContinue(com.google.javascript.rhino.Node):628:cur.getChildCount() == 4 |==> false
223:STD:<ASSIGN>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleContinue(com.google.javascript.rhino.Node):629:iter = cur.getFirstChild().getNext().getNext() |==> <NO-OP>
224:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@handleContinue(com.google.javascript.rhino.Node):632:lastJump == node |==> false
225:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleContinue(com.google.javascript.rhino.Node):633:createEdge(node, Branch.UNCOND, iter) |==> <NO-OP>
226:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleContinue(com.google.javascript.rhino.Node):635:finallyMap.put(lastJump, iter) |==> <NO-OP>
227:COR:curHandler.isFunction():TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@handleReturn(com.google.javascript.rhino.Node):643:curHandler.isFunction() |==> false
228:COR:curHandler.isFunction():FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@handleReturn(com.google.javascript.rhino.Node):643:curHandler.isFunction() |==> true
229:COR:NodeUtil.hasFinally(curHandler):TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@handleReturn(com.google.javascript.rhino.Node):646:NodeUtil.hasFinally(curHandler) |==> false
230:COR:NodeUtil.hasFinally(curHandler):FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@handleReturn(com.google.javascript.rhino.Node):646:NodeUtil.hasFinally(curHandler) |==> true
231:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@handleReturn(com.google.javascript.rhino.Node):647:lastJump == null |==> false
232:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleReturn(com.google.javascript.rhino.Node):648:createEdge(node, Branch.UNCOND, curHandler.getLastChild()) |==> <NO-OP>
233:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleReturn(com.google.javascript.rhino.Node):650:finallyMap.put(lastJump, computeFallThrough(curHandler.getLastChild())) |==> <NO-OP>
234:STD:<ASSIGN>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleReturn(com.google.javascript.rhino.Node):653:lastJump = curHandler |==> <NO-OP>
235:COR:node.hasChildren():TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@handleReturn(com.google.javascript.rhino.Node):657:node.hasChildren() |==> false
236:COR:node.hasChildren():FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@handleReturn(com.google.javascript.rhino.Node):657:node.hasChildren() |==> true
237:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleReturn(com.google.javascript.rhino.Node):658:connectToPossibleExceptionHandler(node, node.getFirstChild()) |==> <NO-OP>
238:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@handleReturn(com.google.javascript.rhino.Node):661:lastJump == null |==> false
239:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleReturn(com.google.javascript.rhino.Node):662:createEdge(node, Branch.UNCOND, null) |==> <NO-OP>
240:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleReturn(com.google.javascript.rhino.Node):664:finallyMap.put(lastJump, null) |==> <NO-OP>
241:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@handleStmt(com.google.javascript.rhino.Node):670:createEdge(node, Branch.UNCOND, computeFollowNode(node, this)) |==> <NO-OP>
